banco_estandarizado,nombres_originales,primer_periodo,ultimo_periodo,numero_periodos,numero_archivos,numero_registros
AMAZONAS,BP AMAZONAS,2009-01,2026-03,205,205,1228
ATLANTIDA,BANCO ATLÁNTIDA S.A.,2025-06,2026-03,10,10,60
AUSTRO,BP AUSTRO,2009-01,2026-03,205,205,1228
BOLIVARIANO,BP BOLIVARIANO,2009-01,2026-03,205,205,1228
CAPITAL,BP CAPITAL,2009-01,2026-03,205,205,1228
CITIBANK,BP CITIBANK,2009-01,2026-03,205,205,1228
COFIEC,BP COFIEC,2009-01,2015-07,79,79,474
COMERCIAL DE MANABI,BP BANCO COMERCIAL DE MANABI | BP COMERCIAL DE MANABI,2009-01,2026-03,205,205,1228
COOPNACIONAL,BP COOPNACIONAL,2011-09,2026-03,173,173,1036
D-MIRO,BP D MIRO S.A. | BP D-MIRO | BP D-MIRO S.A.,2011-08,2025-05,164,164,982
DELBANK,BP DELBANK,2009-01,2026-03,205,205,1228
DESARROLLO DE LOS PUEBLOS S.A,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO | BP BANCODESARROLLO",2014-03,2026-03,143,143,856
DINERS,BP DINERS | BPDINERS,2017-06,2026-03,104,104,622
FINCA,BP FINCA | BP FINCA S.A.,2009-01,2023-04,170,170,1018
GENERAL RUMIÑAHUI,BP GENERAL RUMIÑAHUI,2009-01,2026-03,205,205,1228
GUAYAQUIL,BP GUAYAQUIL,2009-01,2026-03,205,205,1228
INTERNACIONAL,BP INTERNACIONAL,2009-01,2026-03,205,205,1228
LITORAL,BP LITORAL,2009-01,2026-03,205,205,1228
LLOYDS BANK,BP LLOYDS BANK,2009-01,2011-07,31,31,186
LOJA,BP LOJA,2009-01,2026-03,205,205,1228
MACHALA,BP MACHALA,2009-01,2026-03,205,205,1228
MM JARAMILLO ARTEAGA,BP MM JARAMILLO ARTEAGA,2009-01,2009-04,3,3,18
PACIFICO,BP PACIFICO,2009-01,2026-03,205,205,1228
PICHINCHA,BP PICHINCHA,2009-01,2026-03,205,205,1228
PROCREDIT,BP PROCREDIT,2009-01,2026-03,205,205,1228
PRODUBANCO,BP PRODUBANCO,2009-01,2026-03,205,205,1228
PROMERICA,BP PROMERICA,2009-05,2014-12,68,68,408
SOLIDARIO,BP SOLIDARIO,2009-01,2026-03,205,205,1228
SUDAMERICANO,BP SUDAMERICANO,2009-01,2014-12,72,72,432
TERRITORIAL,BP TERRITORIAL,2009-01,2014-12,72,72,432
UNIBANCO,BP UNIBANCO,2009-01,2014-12,72,72,432
VISIONFUND ECUADOR,BP VISIONFUND ECUADOR | BP VISIONFUND ECUADOR S.A.,2016-10,2026-03,112,112,670
